img_id,expression,img_width,img_height,cx,cy,w,h
./data/images/581857.jpg,the lady with the blue shirt,427,640,103.93,299.99,134.22,177.42
./data/images/581839.jpg,middle standing up,466,640,170.75,91.57,84.05,245.41
./data/images/581789.jpg,woman under suitcase,640,423,39.33,95.92,287.75,309.81
./data/images/581766.jpg,left most toilet,500,375,19.47,149.62,108.35,134.59
./data/images/581739.jpg,right most vase,640,480,375.0,148.16,109.26,296.68
./data/images/581738.jpg,red bus on the left,640,427,15.21,165.15,174.69,125.93
./data/images/581719.jpg,the head just behind the girl on leftin the middle,500,357,72.95,221.86,139.11,135.14
./data/images/581686.jpg,bird on right,640,425,402.15,255.0,201.08,165.43
./data/images/581657.jpg,second laptop from front right center,480,640,220.04,207.1,257.44,185.53
./data/images/581629.jpg,man on left white hat,500,332,0.0,130.12,148.71,168.59
./data/images/581481.jpg,what are these foods thing on the right,640,514,377.27,25.47,232.95,483.61
./data/images/581466.jpg,leftmost animal edge of pic,640,478,2.06,166.53,93.54,266.24
./data/images/581446.jpg,female in white shorts and hat,640,427,172.44,150.55,169.7,276.45
./data/images/581425.jpg,man cut face,480,640,74.27,70.18,204.0,225.93
./data/images/581419.jpg,clock on bottom right,612,612,388.29,244.08,212.52,207.73
./data/images/581354.jpg,horse in front close up,640,424,79.33,228.36,560.36,195.64
./data/images/581258.jpg,main person in photo in tie,427,640,4.3,163.75,327.18,467.81
./data/images/581249.jpg,black and white kitty,480,640,227.5,68.44,252.5,147.8
./data/images/581227.jpg,far left player,500,333,42.46,120.08,83.44,212.92
./data/images/581199.jpg,click on the food in the foreground,640,480,0.0,327.91,640.0,146.7